dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0.0054494,0.747823,0.581712,0.0895931,0.314961,0.0017455,0.211646,0.269414,0.455643,0
0.0362747,0.81605,0.325398,0.0878086,0.845978,0.0018251,0.168152,0.265612,0.495413,0
0.08,0.578554,0.513198,0.136102,0.210083,0.0018283,0.150371,0.245728,0.914948,0
0.000229,0.350215,0.455276,0.0894008,0.294437,0.0018283,0.155213,0.248042,0.112688,0
0.0296088,0.452063,0.303268,0.0886298,0.119426,0.0018283,0.170619,0.268654,0.718167,0
0.0229419,0.548926,0.543402,0.0849202,0.314961,0.0018983,0.179577,0.232216,0.647587,0
0.0247084,0.616964,0.217922,0.0862549,0.631592,0.0019047,0.181585,0.254612,0.979147,0
0.0130857,0.409769,0.232074,0.0918469,0.330882,0.0019111,0.321231,0.27663,0.72626,0
0.0438299,0.490934,0.536617,0.0903586,0.354176,0.0020194,0.168192,0.282075,0.341114,0
0.0039037,0.596672,0.339179,0.0844131,0.615049,0.0020289,0.166669,0.25465,0.373088,0
0.0480508,0.621923,0.467933,0.0864486,0.314961,0.0021404,0.174577,0.256544,0.614152,0
0.0807013,0.715431,0.110268,0.1587185,0.585014,0.0021914,0.203213,0.392499,0.378396,0
0.0984444,0.527385,0.288386,0.1833013,0.199831,0.0022806,0.152347,0.240159,0.926139,0
0.0807712,0.634002,0.0734361,0.1484742,0.585014,0.0023475,0.344771,0.387969,0.418198,0
0.023786,0.61351,0.438484,0.0912208,0.615049,0.0023475,0.248428,0.298316,0.331448,0
0.0051653,0.414705,0.506938,0.0895886,0.314961,0.0023506,0.150404,0.271163,0.429599,0
0.0100384,0.769742,0.607309,0.0857713,0.845978,0.002443,0.161455,0.259369,0.828721,0
0.0109084,0.633309,0.460678,0.0895495,0.845978,0.0025131,0.175255,0.279395,0.571964,0
0.0422177,0.787242,0.453211,0.0883344,0.845978,0.0025226,0.203118,0.261947,0.554958,0
0.0158075,0.730443,0.241591,0.0886049,0.845978,0.0025513,0.178248,0.287568,0.809396,0
0.0007037,0.46228,0.563036,0.165531,0.334961,0.0026468,0.165711,0.275028,0.683656,1
0.0209903,0.442512,0.463642,0.0955338,0.119426,0.0026883,0.15443,0.279791,0.658629,0
0.0273519,0.626474,0.690369,0.0707194,0.687692,0.0027583,0.152817,0.281648,0.963329,1
0.0490921,0.707359,0.247376,0.0875846,0.0915633,0.0028348,0.235159,0.261062,0.822825,0
0.0075517,0.433216,0.313516,0.091154,0.314961,0.0028666,0.19001,0.268885,0.716645,0
0.029958,0.395568,0.410789,0.0875306,0.314961,0.0028666,0.179991,0.26642,0.554468,0
0.0312737,0.504141,0.714004,0.0887635,0.40425,0.0028666,0.129559,0.280313,0.811028,1
0.0249402,0.437792,0.119711,0.16772,0.40425,0.002873,0.200176,0.395193,0.806984,1
0.0001003,0.574783,0.385671,0.0594474,0.635049,0.0029049,0.232451,0.32146,0.38654,0
0.0002153,0.649692,0.21771,0.1023758,0.865978,0.0029526,0.24326,0.230034,0.700615,1
